SKU;Qtd_Vendida;Loja;Data_da_Venda;Codigo_Cliente
HL1021;5;Salvador;2016-01-01;97
HL1021;2;Niterói;2016-01-01;546
HL1019;1;Guarulhos;2016-01-01;496
HL1023;1;Campinas;2016-01-01;663
HL1016;5;Fortaleza;2016-01-01;288
HL1022;4;São Paulo;2016-01-01;57
HL1001;2;Guarulhos;2016-01-01;83
HL1005;3;Recife;2016-01-01;158
HL1011;2;Porto Alegre;2016-01-01;189
HL1015;4;Porto Alegre;2016-01-01;525
HL1006;4;Goiânia;2016-01-01;562
HL1004;5;Porto Alegre;2016-01-01;166
HL1006;5;Niterói;2016-01-01;454
HL1018;5;Goiânia;2016-01-01;365
HL1003;4;Fortaleza;2016-01-01;263
HL1011;4;Guarulhos;2016-01-01;479
HL1009;3;Guarulhos;2016-01-01;334
HL1016;5;Niterói;2016-01-01;807
HL1016;3;Recife;2016-01-01;144
HL1015;4;Porto Alegre;2016-01-01;38
HL1011;5;Belo Horizonte;2016-01-01;397
HL1008;2;Nova Iguaço;2016-01-01;324
HL1009;4;Fortaleza;2016-01-01;458
HL1024;2;Campinas;2016-01-01;607
HL1022;3;Porto Alegre;2016-01-01;606
HL1017;1;Rio de Janeiro;2016-01-01;325
HL1024;5;Guarulhos;2016-01-01;294
HL1007;4;Curitiba;2016-01-01;699
HL1019;4;Belo Horizonte;2016-01-01;251
HL1023;4;Guarulhos;2016-01-01;75
HL1021;3;Campinas;2016-01-01;431
HL1018;3;Nova Iguaço;2016-01-01;460
HL1008;2;Goiânia;2016-01-01;438
HL1015;4;Porto Alegre;2016-01-02;166
HL1021;1;Guarulhos;2016-01-02;83
HL1010;4;Guarulhos;2016-01-02;101
HL1003;5;Rio de Janeiro;2016-01-02;362
HL1001;3;Belo Horizonte;2016-01-02;581
HL1023;1;Porto Alegre;2016-01-02;436
HL1002;2;Salvador;2016-01-02;593
HL1001;5;Campinas;2016-01-02;447
HL1005;5;Guarulhos;2016-01-02;229
HL1005;5;Rio de Janeiro;2016-01-02;443
HL1007;2;Recife;2016-01-02;494
HL1023;5;Guarulhos;2016-01-02;74
